,abbr,lat,lon
0,12TH,37.803768,-122.27145
1,16TH,37.765062,-122.419694
2,19TH,37.80835,-122.268602
3,24TH,37.75247,-122.418143
4,ANTC,37.995388,-121.78042
5,ASHB,37.852803,-122.270062
6,BALB,37.721585,-122.447506
7,BAYF,37.696924,-122.126514
8,CAST,37.690746,-122.075602
9,CIVC,37.779732,-122.414123
10,COLM,37.684638,-122.466233
11,COLS,37.753661,-122.196869
12,CONC,37.973737,-122.029095
13,DALY,37.706121,-122.469081
14,DBRK,37.870104,-122.268133
15,DELN,37.925086,-122.316794
16,DUBL,37.701687,-121.899179
17,EMBR,37.792874,-122.39702
18,FRMT,37.557465,-121.976608
19,FTVL,37.774836,-122.224175
20,GLEN,37.733064,-122.433817
21,HAYW,37.669723,-122.087018
22,LAFY,37.893176,-122.12463
23,LAKE,37.797027,-122.26518
24,MCAR,37.829065,-122.26704
25,MLBR,37.600271,-122.386702
26,MONT,37.789405,-122.401066
27,NBRK,37.873967,-122.28344
28,OAKL,37.713238,-122.212191
29,ORIN,37.878361,-122.183791
30,PCTR,38.016941,-121.889457
31,PHIL,37.928468,-122.056012
32,PITT,38.018914,-121.945154
33,PLZA,37.902632,-122.298904
34,POWL,37.784471,-122.407974
35,RICH,37.936853,-122.353099
36,ROCK,37.844702,-122.251371
37,SANL,37.721947,-122.160844
38,SBRN,37.637761,-122.416287
39,SFIA,37.615966,-122.392409
40,SHAY,37.634375,-122.057189
41,SSAN,37.664245,-122.44396
42,UCTY,37.59063,-122.017388
43,WARM,37.502171,-121.939313
44,WCRK,37.905522,-122.067527
45,WDUB,37.699756,-121.92824
46,WOAK,37.804872,-122.29514
47,NCON,38.003193,-122.024653
48,BERY,37.368473,-121.874681
49,MLPT,37.410277,-121.891081